,n_neighbors,weights,leaf_size,RMSE,Std. Dev.,R-Squared
0,5,uniform,10,11924.777992711208,{np.float64(28799.258617394516)},0.828549802724266
1,5,uniform,30,11924.777992711208,{np.float64(28799.258617394516)},0.828549802724266
2,5,uniform,50,11924.777992711208,{np.float64(28799.258617394516)},0.828549802724266
3,5,distance,10,11704.803544120512,{np.float64(28799.258617394516)},0.8348168887014555
4,5,distance,30,11704.803544120512,{np.float64(28799.258617394516)},0.8348168887014555
5,5,distance,50,11704.803544120512,{np.float64(28799.258617394516)},0.8348168887014555
6,10,uniform,10,12131.5394236263,{np.float64(28799.258617394516)},0.8225527749667957
7,10,uniform,30,12131.5394236263,{np.float64(28799.258617394516)},0.8225527749667957
8,10,uniform,50,12131.5394236263,{np.float64(28799.258617394516)},0.8225527749667957
9,10,distance,10,11846.472003576655,{np.float64(28799.258617394516)},0.8307941206776226
10,10,distance,30,11846.472003576655,{np.float64(28799.258617394516)},0.8307941206776226
11,10,distance,50,11846.472003576655,{np.float64(28799.258617394516)},0.8307941206776226
12,20,uniform,10,12900.833321996393,{np.float64(28799.258617394516)},0.7993344070185981
13,20,uniform,30,12900.833321996393,{np.float64(28799.258617394516)},0.7993344070185981
14,20,uniform,50,12900.833321996393,{np.float64(28799.258617394516)},0.7993344070185981
15,20,distance,10,12571.952923583902,{np.float64(28799.258617394516)},0.8094351152320418
16,20,distance,30,12571.952923583902,{np.float64(28799.258617394516)},0.8094351152320418
17,20,distance,50,12571.952923583902,{np.float64(28799.258617394516)},0.8094351152320418
