,trees,max_depth,min_samples,feature_subset_size,RMSE,Std. Dev.,R_squared
0,70,50,10,14,4557.131197231683,28029.34917759681,0.9735663560462874
1,70,50,10,14,4564.308275522665,28029.34917759681,0.9734830291824469
2,70,50,10,14,4579.793764995102,28029.34917759681,0.9733027938328126
3,70,50,10,14,4663.37355731526,28029.34917759681,0.9723194711105797
4,70,50,10,14,4473.73767355871,28029.34917759681,0.9745249525338057
5,70,50,10,14,4523.17646562936,28029.34917759681,0.973958797465773
6,70,50,10,14,4507.176305367622,28029.34917759681,0.9741427064820385
7,70,50,10,14,4465.357595259065,28029.34917759681,0.9746203014178809
8,70,50,10,14,4569.708650549097,28029.34917759681,0.9734202436322199
9,70,50,10,14,4539.055902717474,28029.34917759681,0.9737756317155112
